Channel,Country,Stream
917xfm,Germany,http://www.listenlive.eu/917xfm.m3u
Absolut Radio,Germany,http://stream.absolutradio.de/hq/mp3/listenlive.m3u
Absolut relax,Germany,http://stream.absolutradio.de/relax/mp3-128/listenlive.m3u
Absolut Hot,Germany,http://stream.absolutradio.de/hot/mp3-128/listenlive.m3u
alsterradio,Germany,http://live96.106acht.de/listen.pls
Antenne AC,Germany,http://antenne-ac-mp3.skydisc.net:9000/listen.pls
Antenne Bad Kreuznach,Germany,http://www.listenlive.eu/antenne-kh-mp3.m3u
Antenne Bayern,Germany,http://www.antenne.de/webradio/antenne.m3u
Antenne Bayern Top 40,Germany,http://www.antenne.de/webradio/channels/top-40.m3u
Antenne Bayern Schlagersahne,Germany,http://www.antenne.de/webradio/channels/das-schlager-karussell.m3u
Antenne Bayern Oldies but Goldies,Germany,http://www.antenne.de/webradio/channels/oldies-but-goldies.m3u
Antenne Bayern Hits für Kids,Germany,http://www.antenne.de/webradio/channels/hits-fuer-kids.m3u
Antenne Bayern Chillout,Germany,http://www.antenne.de/webradio/channels/chillout.m3u
Antenne Bayern Lovesongs,Germany,http://www.antenne.de/webradio/channels/lovesongs.m3u
Antenne Bayern 80er Kulthits,Germany,http://www.antenne.de/webradio/channels/80er-kulthits.m3u
Antenne Bayern Black Beatz,Germany,http://www.antenne.de/webradio/channels/black-beatz.m3u
Antenne Bayern Classic Rock Live,Germany,http://www.antenne.de/webradio/channels/classic-rock-live.m3u
Antenne Düsseldorf,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-antennedus/livestream.mp3.m3u
Antenne Frankfurt,Germany,http://www.listenlive.eu/antenne-frankfurt-mp3.m3u
Antenne Idar-Oberstein,Germany,http://www.listenlive.eu/antenne-io-mp3.m3u
Antenne Kaiserslautern,Germany,http://www.listenlive.eu/antenne-kl-aac.m3u
Antenne Koblenz,Germany,http://www.listenlive.eu/antenne-koblenz-mp3.m3u
Antenne Landau,Germany,http://www.listenlive.eu/antenne-landau-aac.m3u
Antenne Mainz,Germany,http://rs1.radiostreamer.com:8020/listen.pls
Antenne Münster,Germany,http://stream.antennemuenster.de:8000/am128k.m3u
Antenne MV,Germany,http://streams.antennemv.de/antennemv-live/mp3-128/listenlive/play.m3u
Antenne Neunkirchen,Germany,http://www.listenlive.eu/antenne-neunkirchen-mp3.m3u
Antenne Niederrhein,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-antennenr/livestream.mp3.m3u
Antenne Niedersachsen,Germany,http://stream.antenne.com/antenne-nds/mp3-64/listenlive/play.m3u
Antenne Niedersachsen 80er,Germany,http://stream.antenne.com/antenne-nds-80er/mp3-64/listenlive/play.m3u
Antenne Niedersachsen 90er,Germany,http://stream.antenne.com/antenne-nds-90er/mp3-64/listenlive/play.m3u
Antenne Niedersachsen Rock,Germany,http://stream.antenne.com/rock/mp3-64/listenlive/play.m3u
